iter	Passed	Remaining
465	762	873
466	763	871
467	765	869
468	766	867
469	767	865
470	769	863
471	771	862
472	772	860
473	773	858
474	775	856
475	776	854
476	777	852
477	778	850
478	780	848
479	781	846
480	783	845
481	784	843
482	785	841
483	787	839
484	789	838
485	790	836
486	792	834
487	793	832
488	794	830
489	796	828
490	797	826
491	798	824
492	799	822
493	801	820
494	803	819
495	804	817
496	806	816
497	807	814
498	808	811
499	810	810
500	811	808
501	812	806
502	814	804
503	815	802
504	816	800
505	818	799
506	820	797
507	822	796
508	823	794
509	824	792
510	825	790
511	827	788
512	828	786
513	829	784
514	831	782
515	832	780
516	833	778
517	835	777
518	837	775
519	838	774
520	840	772
521	841	770
522	842	768
523	844	766
524	845	764
525	847	763
526	848	761
527	850	759
528	851	758
529	853	756
530	855	755
531	857	754
532	858	752
533	860	750
534	862	749
535	864	748
536	865	746
537	867	745
538	869	743
539	871	742
540	872	740
541	874	739
542	875	737
543	877	735
544	878	733
545	879	731
546	881	729
547	883	728
548	885	727
549	887	725
550	888	723
551	889	722
552	890	720
553	891	718
554	893	716
555	894	714
556	895	712
557	897	710
558	898	708
559	900	707
560	902	705
561	903	704
562	905	702
563	906	700
564	907	699
565	909	697
566	910	695
567	911	693
568	913	691
569	914	690
570	916	688
571	918	687
572	920	686
573	923	685
574	924	683
575	925	681
576	928	680
577	930	679
578	931	677
579	933	676
580	936	675
581	937	673
582	939	671
583	940	669
584	941	668
585	943	666
586	944	664
587	946	662
588	947	661
589	949	659
590	951	658
591	952	656
592	954	654
593	955	653
594	956	651
595	957	649
596	959	647
597	960	645
598	962	644
599	963	642
600	965	640
601	966	639
602	968	637
603	969	635
604	970	633
605	972	632
606	973	630
607	974	628
608	976	626
609	977	624
610	978	623
611	980	621
612	982	620
613	984	618
614	985	616
615	987	615
616	988	613
617	990	612
618	992	610
619	993	609
620	995	607
621	997	605
622	998	604
623	1000	602
624	1001	601
625	1003	599
626	1004	597
627	1005	595
628	1007	594
629	1009	592
630	1011	591
631	1012	589
632	1014	588
633	1017	587
634	1019	585
635	1020	584
636	1021	582
637	1024	581
638	1025	579
639	1026	577
640	1028	575
641	1029	574
642	1031	572
643	1032	571
644	1034	569
645	1035	567
646	1038	566
647	1039	564
648	1040	562
649	1041	561
650	1043	559
651	1045	557
652	1046	556
653	1048	554
654	1049	552
655	1051	551
656	1052	549
657	1053	547
658	1055	546
659	1056	544
660	1058	542
661	1059	540
662	1061	539
663	1062	537
664	1064	536
665	1065	534
666	1066	532
667	1067	530
668	1068	528
669	1070	527
670	1071	525
671	1073	523
672	1074	522
673	1075	520
674	1077	518
675	1079	517
676	1080	515
677	1081	513
678	1083	512
679	1084	510
680	1085	508
681	1086	506
682	1088	505
683	1089	503
684	1091	501
685	1092	500
686	1094	498
687	1096	497
688	1098	495
689	1099	494
690	1102	492
691	1103	491
692	1105	489
693	1107	488
694	1110	487
695	1141	498
696	1142	496
697	1144	495
698	1146	493
699	1153	494
700	1155	492
701	1157	491
702	1158	489
703	1160	487
704	1161	486
705	1163	484
706	1165	483
707	1167	481
708	1168	479
709	1169	477
710	1171	476
711	1172	474
712	1174	472
713	1176	471
714	1177	469
715	1178	467
716	1179	465
717	1181	463
718	1182	462
719	1183	460
720	1184	458
721	1186	456
722	1187	455
723	1189	453
724	1191	451
725	1192	449
726	1193	448
727	1195	446
728	1196	444
729	1197	443
730	1199	441
731	1200	439
732	1202	437
733	1203	436
734	1205	434
735	1207	433
736	1208	431
737	1209	429
738	1211	427
739	1212	426
740	1213	424
741	1215	422
742	1216	420
743	1217	418
744	1218	417
745	1220	415
746	1222	413
747	1223	412
748	1226	410
749	1227	409
750	1229	407
751	1230	405
752	1232	404
753	1234	402
754	1236	401
755	1238	399
756	1240	398
757	1242	396
758	1244	395
759	1245	393
760	1246	391
761	1248	389
762	1249	388
763	1250	386
764	1251	384
765	1253	382
766	1254	381
767	1256	379
768	1257	377
769	1259	376
770	1260	374
771	1261	372
772	1263	370
773	1264	369
774	1266	367
775	1267	365
776	1268	364
777	1270	362
778	1272	360
779	1273	359
780	1275	357
781	1276	355
782	1277	354
