iter	RMSE
162	10.65040964
163	10.64828926
164	10.64423623
165	10.64115498
166	10.63898841
167	10.63643546
168	10.63244804
169	10.62876673
170	10.62628405
171	10.62313727
172	10.61939701
173	10.6140639
174	10.60968957
175	10.60533765
176	10.60244009
177	10.59953909
178	10.59744552
179	10.59481935
180	10.59265949
181	10.59008848
182	10.58762485
183	10.58553243
184	10.58137425
185	10.57749741
186	10.57435837
187	10.5711092
188	10.56623639
189	10.5632086
190	10.56105758
191	10.55753398
192	10.5547363
193	10.55170457
194	10.54907617
195	10.54523827
196	10.54074127
197	10.53818808
198	10.53515342
199	10.53285418
200	10.52972396
201	10.52521244
202	10.52186164
203	10.51943773
204	10.51667852
205	10.51339101
206	10.50938334
207	10.50769162
208	10.50458548
209	10.50039713
210	10.49803827
211	10.49537276
212	10.4925776
213	10.48891905
214	10.48655897
215	10.48396857
216	10.48060481
217	10.47820427
218	10.4755682
219	10.47243756
220	10.46950861
221	10.46764582
222	10.46224199
223	10.45748086
224	10.45583631
225	10.45397734
226	10.45227633
227	10.45121012
228	10.44845524
229	10.44506998
230	10.44066932
231	10.43790622
232	10.43529661
233	10.43306059
234	10.43026272
235	10.42601892
236	10.42337099
237	10.42048132
238	10.41862239
239	10.41615863
240	10.41386157
241	10.41090424
242	10.40844799
243	10.40459964
244	10.40224163
245	10.39822307
246	10.39561546
247	10.39297556
248	10.38992226
249	10.38614115
250	10.38221635
251	10.37932379
252	10.37772717
253	10.37436193
254	10.37249368
255	10.37028751
256	10.36786825
257	10.36530513
258	10.36110471
259	10.35831401
260	10.35570587
261	10.35237547
262	10.35004766
263	10.34781439
264	10.34568795
265	10.34348717
266	10.34073365
267	10.33886123
268	10.3370505
269	10.33504522
270	10.33165267
271	10.32999727
272	10.32798951
273	10.32632193
274	10.32393695
275	10.32006522
276	10.31805428
277	10.31608745
278	10.31406532
279	10.31140824
280	10.30935983
281	10.30705391
282	10.30353991
283	10.30054558
284	10.29833849
285	10.29717688
286	10.29486315
287	10.29261338
288	10.2891697
289	10.28705034
290	10.28484904
291	10.2811785
292	10.27810818
293	10.27626922
294	10.2740817
295	10.2724685
296	10.27063355
297	10.26867352
298	10.26549967
299	10.26222184
300	10.26014721
301	10.25733339
302	10.25423246
303	10.25262449
304	10.24992032
305	10.24749742
306	10.24511492
307	10.24310523
308	10.23910879
309	10.23585931
310	10.23212549
311	10.23027103
312	10.22844544
313	10.22538287
314	10.22234743
315	10.22013791
316	10.218248
317	10.21642447
318	10.21515486
319	10.21221446
320	10.21013203
321	10.20818841
322	10.20601976
323	10.20314194
324	10.19965108
325	10.19714595
326	10.19565035
327	10.19367724
328	10.19156475
329	10.18903151
330	10.18726993
331	10.18521317
332	10.18311254
333	10.18074895
334	10.17911426
335	10.17679976
336	10.17452431
337	10.17190615
338	10.16945831
339	10.167927
340	10.16502494
341	10.16363777
342	10.1614874
343	10.15953704
344	10.15754944
345	10.15552594
346	10.15414885
347	10.15206872
348	10.14889521
349	10.14583453
350	10.14401881
351	10.14213135
352	10.13958599
353	10.13762769
354	10.13524528
355	10.13233938
356	10.13072318
357	10.12845118
358	10.12574646
359	10.12360947
360	10.12128735
361	10.11899517
362	10.11674767
363	10.11505081
364	10.11196274
365	10.11017059
366	10.10807431
367	10.10623447
368	10.10270002
369	10.09876424
370	10.09718531
371	10.09353439
372	10.09161534
373	10.0891645
374	10.08735779
375	10.08461095
376	10.08182718
377	10.07876706
378	10.07736863
379	10.07568651
380	10.07304462
381	10.07172656
382	10.06896757
383	10.06622404
384	10.0634912
385	10.06030432
386	10.0580018
387	10.05500892
388	10.05283279
389	10.05028913
390	10.04814927
391	10.04497969
392	10.04223403
393	10.04044524
394	10.03847494
395	10.03612545
396	10.0334337
397	10.03131551
398	10.02877589
399	10.02705262
400	10.024591
401	10.02144143
402	10.02008888
403	10.01729076
404	10.01492327
405	10.01292499
406	10.0111863
407	10.00956595
408	10.00759894
409	10.00525718
410	10.00172816
411	10.00000555
412	9.997436971
413	9.994995166
414	9.992972741
415	9.99069362
416	9.987793378
417	9.986081238
418	9.984232121
419	9.982264362
420	9.979861693
421	9.977290829
422	9.975089485
423	9.970483045
424	9.967726249
425	9.967305619
426	9.965273968
427	9.963557317
428	9.962431842
429	9.959098577
430	9.957929747
431	9.956395813
432	9.954266351
433	9.94996291
434	9.947054578
435	9.944973104
436	9.942670536
437	9.941159316
438	9.939269515
439	9.937015216
440	9.935973099
441	9.933757732
442	9.931772584
443	9.930345239
444	9.927811405
445	9.925225754
446	9.922672317
447	9.921515718
448	9.919234695
449	9.918769861
450	9.916816468
451	9.915646408
452	9.913511737
453	9.911791341
454	9.910638111
455	9.90836044
456	9.905951189
457	9.903461536
458	9.901428288
459	9.89893584
460	9.898823988
461	9.897057599
462	9.89464027
463	9.892737888
464	9.890845883
465	9.887573797
466	9.885607107
467	9.885002909
468	9.883012653
469	9.881195746
470	9.879692404
471	9.877014244
472	9.875017619
473	9.873260956
474	9.87029795
475	9.868086734
476	9.865716593
477	9.863498837
478	9.862310744
479	9.860756232
480	9.858832723
481	9.856191784
482	9.853901642
483	9.851776448
484	9.848856563
485	9.84673415
486	9.845098105
487	9.843164854
488	9.841264032
489	9.84009135
490	9.83819604
491	9.836865318
492	9.834874593
493	9.83237372
494	9.829599777
495	9.826975974
496	9.824429013
497	9.822395057
498	9.8213151
499	9.818938575
500	9.817093606
501	9.814556754
502	9.811860003
503	9.809417072
504	9.806860849
505	9.804883883
506	9.803862169
507	9.80118395
508	9.798800229
509	9.797500178
510	9.795271391
511	9.793632983
512	9.791253109
513	9.791192438
514	9.788537405
515	9.785618096
516	9.785442297
517	9.783237415
518	9.782202261
519	9.779698267
520	9.778115173
521	9.776777755
522	9.774848075
523	9.772648648
524	9.771245077
525	9.769279403
526	9.766391492
527	9.764415526
528	9.761907812
529	9.760308073
530	9.758531592
531	9.755827761
532	9.754572741
533	9.750713879
534	9.749728114
535	9.747821949
536	9.745215022
537	9.742872259
538	9.740429203
539	9.738415388
540	9.735467771
541	9.733851909
542	9.731846462
543	9.729047486
544	9.727788333
545	9.725541367
546	9.725323722
547	9.723064236
548	9.720062854
549	9.718963632
550	9.718844214
551	9.716853843
552	9.714769836
553	9.713114306
554	9.709937758
555	9.708823618
556	9.706862201
557	9.703784796
558	9.702457159
559	9.70055245
560	9.698856222
561	9.697485979
562	9.695456437
563	9.694807248
564	9.692655206
565	9.691266428
566	9.689118508
567	9.687839024
568	9.686676096
569	9.683735756
570	9.68278121
571	9.68011916
572	9.678875063
573	9.677526928
574	9.676483105
575	9.674106107
576	9.670957816
577	9.669657311
578	9.668168023
579	9.665839319
580	9.664920642
581	9.663063116
582	9.660898212
583	9.659537372
584	9.658056304
585	9.655659291
586	9.654197116
587	9.652351777
588	9.64939437
589	9.64826869
590	9.647044965
591	9.645865174
592	9.644432346
593	9.642166386
594	9.64084813
595	9.63768903
596	9.636104498
597	9.634703004
598	9.632840043
599	9.630352538
600	9.628161112
601	9.62524889
602	9.623321961
603	9.621639072
604	9.62008152
605	9.618723755
606	9.617168941
607	9.615716232
608	9.614367736
609	9.612527448
610	9.611241758
611	9.609161632
612	9.607562042
613	9.605855376
614	9.603550748
615	9.60162995
616	9.598826863
617	9.596540362
618	9.594584824
619	9.59320356
620	9.591726075
621	9.589702697
622	9.58849492
623	9.587202477
624	9.585312903
625	9.583613568
626	9.58357859
627	9.581274925
628	9.578758328
629	9.577716734
630	9.576454896
631	9.57579825
632	9.573699027
633	9.572346279
634	9.570422803
635	9.569015413
636	9.566709921
637	9.564033161
638	9.562677289
639	9.561091919
640	9.5595108
641	9.557167079
642	9.555629615
643	9.554979699
644	9.553599851
645	9.552298943
646	9.550032395
647	9.547065679
648	9.544477457
649	9.543324295
650	9.541459005
651	9.539662578
652	9.538914299
653	9.537583124
654	9.53543303
655	9.53297646
656	9.53046556
657	9.52836648
658	9.52740845
659	9.525215305
660	9.52258797
661	9.520231604
662	9.517547898
663	9.515556193
664	9.514053176
665	9.514006887
666	9.512040435
667	9.510139274
668	9.50882425
669	9.50663521
670	9.503098954
671	9.5014896
672	9.499141956
673	9.497334849
674	9.495248049
675	9.492546137
676	9.490636842
677	9.487459565
678	9.485647643
679	9.484161667
680	9.482462429
681	9.480697177
682	9.478283882
683	9.475686698
684	9.472704213
685	9.470417874
686	9.468583637
687	9.467106281
688	9.464930156
689	9.464840569
690	9.462596752
691	9.460726458
692	9.458492018
693	9.4567055
694	9.454946271
695	9.453900253
696	9.452067993
697	9.450452778
698	9.448159358
699	9.446702766
700	9.44428294
701	9.441768391
702	9.439493362
703	9.437315612
704	9.434851584
705	9.43368279
706	9.432626637
707	9.431030297
708	9.429546676
709	9.427383588
710	9.425628331
711	9.424222244
712	9.422231063
713	9.420096654
714	9.4179738
715	9.415471677
716	9.414255305
717	9.41207395
718	9.41102994
719	9.409612203
720	9.407899019
721	9.40562897
722	9.404099429
723	9.402671139
724	9.399881034
725	9.39870043
726	9.396846389
727	9.39444062
728	9.392221095
729	9.391389214
730	9.389461573
731	9.387858951
732	9.38626438
733	9.384444707
734	9.382514188
735	9.381445429
736	9.379570513
737	9.379129746
738	9.377995334
739	9.375281867
740	9.373413449
741	9.371818407
742	9.370159805
743	9.368633328
744	9.367717131
745	9.366128139
746	9.364412894
747	9.363016597
748	9.360591512
749	9.360498134
750	9.35920082
751	9.358006912
752	9.356043831
753	9.352997955
754	9.352027443
755	9.349705051
756	9.347650065
757	9.345747175
758	9.34499021
759	9.34299002
760	9.341877706
761	9.340366333
762	9.33848768
763	9.337092899
764	9.337012321
765	9.335353236
766	9.333994067
767	9.331964198
768	9.330811973
769	9.328211591
770	9.328188448
771	9.327137995
772	9.325403356
773	9.323891787
774	9.321450739
775	9.320188694
776	9.319313665
777	9.317338925
778	9.315703499
779	9.314409878
780	9.312501404
781	9.311564143
782	9.310556931
783	9.309086861
784	9.307744601
785	9.305809778
786	9.304646185
787	9.303405546
788	9.30269182
789	9.301106685
790	9.298640704
791	9.297951632
792	9.295795512
793	9.294182474
794	9.292634314
795	9.290303425
796	9.289034731
797	9.287644371
798	9.285652158
799	9.283513277
800	9.281744792
801	9.279230228
802	9.277541745
803	9.276340123
804	9.274994713
805	9.273018207
806	9.27190868
807	9.269484615
808	9.266836771
809	9.266001771
810	9.264507051
811	9.262915565
812	9.261801467
813	9.260429427
814	9.258033707
815	9.256271872
816	9.253675666
817	9.25296702
818	9.252940037
819	9.250972384
820	9.249798781
821	9.248087476
822	9.246846652
823	9.245517995
824	9.244159805
825	9.242888497
826	9.240761414
827	9.239054219
828	9.237903942
829	9.236361489
830	9.234505409
831	9.233214042
832	9.231875061
833	9.230572214
834	9.228545554
835	9.225708483
836	9.224419565
837	9.223327336
838	9.221977778
839	9.221296841
840	9.220452364
841	9.218836634
842	9.217679328
843	9.215085885
844	9.213852199
845	9.211631925
846	9.210258495
847	9.208621229
848	9.206323642
849	9.205107577
850	9.205064031
851	9.203469471
852	9.201726381
853	9.200180695
854	9.199945263
855	9.198799536
856	9.197682132
857	9.19530151
858	9.192173105
859	9.189985477
860	9.188520588
861	9.186801314
862	9.18547824
863	9.184090947
864	9.18225805
865	9.181057202
866	9.178767908
867	9.177757156
868	9.175311892
869	9.173163375
870	9.170979423
871	9.169710891
872	9.168455588
873	9.166512666
874	9.164441362
875	9.162844224
876	9.162277909
877	9.161145685
878	9.159356207
879	9.157807231
880	9.155791635
881	9.154603926
882	9.15331219
883	9.151851983
884	9.149691092
885	9.146827895
886	9.145206497
887	9.144290863
888	9.14264649
889	9.140944444
890	9.139531178
891	9.137981523
892	9.135660023
893	9.133917948
894	9.13299507
895	9.130965442
896	9.12980767
897	9.128732472
898	9.126953966
899	9.126046294
900	9.124415616
901	9.123176783
902	9.121766198
903	9.120741071
904	9.119444622
905	9.117750394
906	9.116567627
907	9.114483934
908	9.114416108
909	9.112409696
910	9.111186347
911	9.108521353
912	9.106859053
913	9.105538561
914	9.103420664
915	9.102469885
916	9.100258034
917	9.096435684
918	9.094255426
919	9.093062412
920	9.090715362
921	9.088076837
922	9.08663536
923	9.084826603
924	9.082664613
925	9.081656351
926	9.079795132
927	9.078610104
928	9.076181797
929	9.075212829
930	9.0733162
931	9.071408734
932	9.070522197
933	9.069104226
934	9.067788569
935	9.065394172
936	9.063629641
937	9.062504719
938	9.061508486
939	9.061434112
940	9.060472501
941	9.058694438
942	9.057642906
943	9.056861418
944	9.054509177
945	9.053018126
946	9.051476095
947	9.050377302
948	9.048137354
949	9.046171429
950	9.045323242
951	9.043837261
952	9.042402258
953	9.040738435
954	9.038426695
955	9.037135334
956	9.035950776
957	9.034191304
958	9.032912029
959	9.032173811
960	9.03092645
961	9.029154504
962	9.027970299
963	9.026250713
964	9.024821777
965	9.023410103
966	9.022108572
967	9.02123362
968	9.019803994
969	9.018333058
970	9.01657029
971	9.015627591
972	9.014572738
973	9.014242371
974	9.011791661
975	9.009968591
976	9.00828314
977	9.006321271
978	9.004329596
979	9.002727265
980	9.001466198
981	9.000329208
982	8.999056873
983	8.996923095
984	8.995737514
985	8.993830393
986	8.992717594
987	8.991500034
988	8.989962775
989	8.989899346
990	8.987561313
991	8.985459881
992	8.98451163
993	8.983438501
994	8.982397004
995	8.980100815
996	8.97874832
997	8.977917659
998	8.976220875
999	8.974212592
